,code,name,price
0,MMM,3M,160.09
1,AXP,American Express,134.46
2,AAPL,Apple,326.12
3,BA,Boeing,345.02
4,CAT,Caterpillar,140.47
5,CVX,Chevron,111.91
6,CSCO,Cisco,47.59
7,KO,Coca-Cola,59.8
8,DIS,Disney,141.75
9,DOW,Dow Chemical,48.3
10,XOM,Exxon Mobil,60.79
11,GS,Goldman Sachs,238.62
12,HD,Home Depot,242.91
13,IBM,IBM,154.76
14,INTC,Intel,67.59
15,JNJ,Johnson & Johnson,150.46
16,JPM,JPMorgan Chase,138.08
17,MCD,McDonald's,218.11
18,MRK,Merck,82.35
19,MSFT,Microsoft,184.4
20,NKE,Nike,103.6
21,PFE,Pfizer,37.15
22,PG,Procter & Gamble,125.19
23,TRV,Travelers Companies Inc,136.95
24,UTX,United Technologies,153.8
25,UNH,UnitedHealth,303.98
26,VZ,Verizon,58.6
27,V,Visa,208.11
28,WMT,Wal-Mart,117.44
29,WBA,Walgreen,53.58
